# OpenNC 8Cuffs legs 3.950
Chain Only|*none*|rllc=lllc
Belly|cuff-belly|irllc=illlc~rulc=lulc
Butterfly|cuff-butterfly|rllc=lllc~lllc=lulc~rllc=rulc~ilulc=locbelt~irulc=rocbelt
# Hang|cuff-hang|rllc=lllc~orulc=illlc~olulc=irllc~rulc=lulc
Hogtie|hogtie|orllc=orlac~olllc=ollac~llac=rlac~rllc=lllc~ollac=olulc~irlac=irulc~rocbelt=oruac~locbelt=oluac~rulc=lulc~iruac=iluac~luac=loccollar~ruac=roccollar
HogtieLeft|hogtiel|orllc=orlac~olllc=ollac~llac=rlac~rllc=lllc~ollac=olulc~orlac=orulc~oruac=rocbelt~oluac=locbelt~ruac=luac~luac=loccollar~ruac=roccollar
HogtieRight|hogtier|orllc=orlac~olllc=ollac~llac=rlac~rllc=lllc~ollac=olulc~orlac=orulc~oruac=rocbelt~oluac=locbelt~ruac=luac~luac=loccollar~ruac=roccollar
HogtieBack|hogtieb|orllc=orlac~olllc=ollac~llac=rlac~rllc=lllc~ollac=olulc~orlac=orulc~oruac=rocbelt~oluac=locbelt~ruac=luac~luac=loccollar~ruac=roccollar
Kneel|cuff-kneel|irllc=illlc~orllc=orulc~olllc=olulc
Splits|cuff-splits|orulc=rocbelt~olulc=locbelt
Sit|cuff-sit|irllc=illlc~irulc=ilulc~olllc=olulc~orllc=orulc
